date,vstar universe booster box,pokemon 151 booster box,vmax climax booster box,op-01 booster box,op-02 booster box,op03 booster box,op04 booster box
2023-07-20,188.0,213.0,257.0,67.0,88.0,88.0,75.0
2023-07-21,189.0,213.0,258.0,67.0,89.0,89.0,75.0
